annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,radar_wavelength,d_ref,scaling_factor
0.000138,0.0001,0.938115,0.938115,0.0618853,0.999559,0.0193692,0.000129483,0.000129483,8.54169e-06,6578.137,0.075,0.26,1.0
0.0004822,0.0001,0.868236,0.868236,0.131764,0.999219,0.0813497,0.000418649,0.000418649,6.35345e-05,6678.137,0.075,0.26,1.0
0.0008527,0.0001,0.585567,0.532305,0.467695,0.999418,0.607387,0.000499333,0.000402222,0.000353401,6778.137,0.075,0.26,1.0
0.002415,0.0001,0.573467,0.241139,0.758861,0.999249,1.37132,0.0013852,0.000327389,0.00103029,6878.137,0.075,0.26,1.0
0.004625,0.0001,0.686284,0.108648,0.891352,0.998903,1.32248,0.00317394,0.00017685,0.00145088,6978.137,0.075,0.26,1.0
0.008832,0.0001,0.758942,0.0590794,0.940921,0.998843,1.84009,0.00670265,0.000133673,0.00212892,7078.137,0.075,0.26,1.0
0.000138,0.0001,0.938115,0.938115,0.0618853,0.999559,0.0193692,0.000129483,0.000129483,8.54169e-06,6578.137,0.1,0.26,1.0
0.0004822,0.0001,0.902194,0.87848,0.12152,0.999281,0.065595,0.000435023,0.000340928,4.71605e-05,6678.137,0.1,0.26,1.0
0.0008527,0.0001,0.646026,0.491349,0.508651,0.99944,0.539385,0.000550889,0.000291579,0.000301846,6778.137,0.1,0.26,1.0
0.002415,0.0001,0.6195,0.225876,0.774124,0.999225,1.18617,0.00149639,0.000268175,0.000919095,6878.137,0.1,0.26,1.0
0.004625,0.0001,0.686284,0.108648,0.891352,0.998903,1.32248,0.00317394,0.00017685,0.00145088,6978.137,0.1,0.26,1.0
0.008832,0.0001,0.758942,0.0590794,0.940921,0.998843,1.84009,0.00670265,0.000133673,0.00212892,7078.137,0.1,0.26,1.0
0.000138,0.0001,0.938115,0.938115,0.0618853,0.999559,0.0193692,0.000129483,0.000129483,8.54169e-06,6578.137,0.125,0.26,1.0
0.0004822,0.0001,0.944073,0.899377,0.100623,0.999404,0.0452625,0.000455217,0.000241035,2.69672e-05,6678.137,0.125,0.26,1.0
0.0008527,0.0001,0.694749,0.465664,0.534336,0.999466,0.487411,0.000592436,0.000226845,0.000260298,6778.137,0.125,0.26,1.0
0.002415,0.0001,0.687001,0.221737,0.778263,0.999213,0.960443,0.00165944,0.000215407,0.000756045,6878.137,0.125,0.26,1.0
0.004625,0.0001,0.686284,0.108648,0.891352,0.998903,1.32248,0.00317394,0.00017685,0.00145088,6978.137,0.125,0.26,1.0
0.008832,0.0001,0.758942,0.0590794,0.940921,0.998843,1.84009,0.00670265,0.000133673,0.00212892,7078.137,0.125,0.26,1.0
0.000138,0.0001,0.93826,0.924556,0.0754437,0.999558,0.0192727,0.000129503,0.000104432,8.52161e-06,6578.137,0.15,0.26,1.0
0.0004822,0.0001,0.950816,0.897718,0.102282,0.99938,0.0382358,0.000458468,0.000208149,2.37157e-05,6678.137,0.15,0.26,1.0
0.0008527,0.0001,0.728127,0.447144,0.552856,0.999465,0.433056,0.000620899,0.000187506,0.000231835,6778.137,0.15,0.26,1.0
0.002415,0.0001,0.736908,0.217276,0.782724,0.999201,0.795295,0.00177999,0.000176407,0.000635497,6878.137,0.15,0.26,1.0
0.004625,0.0001,0.715189,0.103143,0.896857,0.998882,1.17825,0.00330762,0.000151485,0.0013172,6978.137,0.15,0.26,1.0
0.008832,0.0001,0.758942,0.0590794,0.940921,0.998843,1.84009,0.00670265,0.000133673,0.00212892,7078.137,0.15,0.26,1.0
